IRef,ItemNumber,LisQty,SalesQty,SalesUOM,PkgWeight,CartonUPC_NumSys,CartonUPC_Mfg,CartonUPC_Prod,CartonUPC_Chkdgt,CustomerChar,Grade,PkgIndicator,CardPrinter,LISDescription,Shade,BoxesPerPallet,NeedPalletLabel,Company,Status,Extract,ColorDesc,ShapeDesc,SeriesDesc,Brand,TypeOfTile,ColorId,SizeShape,WmsUOM,Plant,ProductType,SingleUPC_NumSys,SingleUPC_Mfg,SingleUPC_Prod,SingleUPC_Chkdgt,PEI,WA,COF,Tone,CreateUser,UpdateUser,CreateDate,UpdateDate,LabelTypeCode,LastScheduleOrder,OpenQty,ScheduleDate
0,019036MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656712,150006.000,2026-08-16
0,0190412MOD1P1,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541233,61050.020,2026-08-16
0,076136MOD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229739433,28000.000,2026-08-16
0,AC29SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229719318,18000.045,2026-08-16
0,AK01312HD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715285,53333.000,2026-08-16
0,CA08SQU44HDCST,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541271,10498.475,2026-08-16
0,CC20RCT312GL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229719917,28000.151,2026-08-16
0,CC20RCT312GL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715286,39956.628,2026-08-16
0,CC20RCT312HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715287,39999.624,2026-08-16
0,CC20RCT412GL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541232,75042.590,2026-08-16
0,CE30SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229718236,18000.000,2026-08-16
0,CV60SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541270,6561.560,2026-08-16
0,EW05SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771877,1.256,2026-08-16
0,EW05SQU44HDCST,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771881,1.256,2026-08-16
0,EW06SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771879,1.256,2026-08-16
0,EW06SQU44HDCST,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771883,1.256,2026-08-16
0,EW07SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771878,1.256,2026-08-16
0,EW07SQU44HDCST,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771882,1.256,2026-08-16
0,EW08SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771880,1.256,2026-08-16
0,EW08SQU44HDCST,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229771884,1.256,2026-08-16
0,RE15312HD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715288,39999.750,2026-08-16
0,RE1536MODHD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656711,182616.000,2026-08-16
0,RE15412MODHD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229727240,31999.800,2026-08-16
0,RE15412MODHD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541234,50224.620,2026-08-16
0,RE1544HD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367485,110357.875,2026-08-16
0,RR17SQU66MIXMT,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229731791,30000.096,2026-08-16
0,X11436MOD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367464,60872.000,2026-08-16
0,X114441P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367483,63061.625,2026-08-16
0,ZL01SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541273,13123.015,2026-08-16
0,ZL03SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229732814,18000.045,2026-08-16
0,ZL03SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656696,10498.475,2026-08-16
0,ZL11SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541274,122043.945,2026-08-16
0,010036MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656718,91308.000,2026-08-23
0,010936MOD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656721,15218.000,2026-08-23
0,019036MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229735450,84000.000,2026-08-23
0,019036MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656722,167398.000,2026-08-23
0,0190412MOD1P1,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541235,79365.140,2026-08-23
0,AC25SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541265,18372.200,2026-08-23
0,AC30SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541266,7873.830,2026-08-23
0,AK01312HD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715291,33333.000,2026-08-23
0,CC18RCT312HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715290,26637.668,2026-08-23
0,CC20RCT312GL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229719918,28000.151,2026-08-23
0,CC20RCT412GL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541236,72299.634,2026-08-23
0,CE33SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229719281,18000.000,2026-08-23
0,HA28SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229728156,28000.000,2026-08-23
0,HA29SQU44HDCGL,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229728162,28000.000,2026-08-23
0,K17536MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656720,30436.000,2026-08-23
0,LC15312HD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715289,71338.000,2026-08-23
0,RE15312HD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229715292,33333.000,2026-08-23
0,RE1536MODBHD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229725983,62500.000,2026-08-23
0,RE1536MODHD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656719,121744.000,2026-08-23
0,RE15412MODHD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229727241,95999.400,2026-08-23
0,RE15412MODHD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541237,72546.800,2026-08-23
0,ZL06SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541268,10498.475,2026-08-23
0,ZL08SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229656695,13123.015,2026-08-23
0,ZL11SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229733255,104999.895,2026-08-23
0,ZL11SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229733256,18000.045,2026-08-23
0,ZL11SQU44UND1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229541269,119419.300,2026-08-23
